node_id,bucket_type,source_path,source_rel_hash,provenance_ref
NODE-024,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146939_10203820293745892_1849862203_o.jpg,b0367f3c016b,prov:b0367f3c016b
NODE-025,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21268727_10154943498077913_1627040379_n.png,372d3178fd17,prov:372d3178fd17
NODE-026,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Chakra21.jpg,3e172836aa5a,prov:3e172836aa5a
NODE-027,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/SES-infographic-subtleenergy-1.jpg,2ac9be92e172,prov:2ac9be92e172
NODE-028,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624266_10154871766767913_572055730_n.jpg,a24033b547ea,prov:a24033b547ea
NODE-029,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363175_10154948161267913_1808121624_o.jpg,fa1d3b1a0d74,prov:fa1d3b1a0d74
NODE-030,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/67761_1573488850613_1037305960_31611772_7546209_s.jpg,53450091ec55,prov:53450091ec55
NODE-031,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/13789_518435964857353_377864600_n.jpg,1eba52972bf0,prov:1eba52972bf0
NODE-032,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329415_10154948152822913_2081738134_o.jpg,bac9e17d0869,prov:bac9e17d0869
NODE-033,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21325583_10154942520712913_225346204_n.jpg,8935b2c61831,prov:8935b2c61831
NODE-034,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329826_10154948169402913_281946457_o.jpg,73794cc669cd,prov:73794cc669cd
NODE-035,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21299019_10154948138132913_1114110350_o.jpg,794614089c5f,prov:794614089c5f
NODE-036,interpretation_maps,"/Users/sheshnarayaniyer/Documents/noesis/Research/James True/Exploring Consciousness - An Introduction to Living Systems, Sapience, and Sentience.md",27303c62ea9c,prov:27303c62ea9c
NODE-037,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195322.png,4228d72c9e82,prov:4228d72c9e82
NODE-038,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240305002325.png,da29dbf91b56,prov:da29dbf91b56
NODE-039,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906142538.png,eee1706bcbcf,prov:eee1706bcbcf
NODE-040,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Books/e2ca0c409c17538f41b5fd39fa497e2a--st-thomas-walter-obrien.jpg,88cfe9b9507a,prov:88cfe9b9507a
NODE-041,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208205024.png,8333a7aad71a,prov:8333a7aad71a
NODE-042,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612223045.png,2077590e8790,prov:2077590e8790
NODE-043,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240828002737.png,dc642ab8fbfb,prov:dc642ab8fbfb
NODE-044,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-19 031659.png,d58f617ceec1,prov:d58f617ceec1
NODE-045,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224016.png,3d4b98e6eafc,prov:3d4b98e6eafc
NODE-046,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921172756.png,adbec2faa9a7,prov:adbec2faa9a7
NODE-047,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240316220701.png,6976b1c75fcc,prov:6976b1c75fcc
NODE-048,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921174633.png,05fe824b9253,prov:05fe824b9253
NODE-049,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/800px-Toroidal_Transformer_Poynting_Vector.jpg,52d6fed8cb94,prov:52d6fed8cb94
NODE-050,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 164229.png,5c75464b53fa,prov:5c75464b53fa
NODE-051,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195832.png,94c5ab047c7e,prov:94c5ab047c7e
NODE-052,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224817.png,61394345b56e,prov:61394345b56e
NODE-053,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240827191449.png,dd0e52d034c1,prov:dd0e52d034c1
NODE-054,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612214645.png,94764d4ee5ee,prov:94764d4ee5ee
NODE-055,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/HV-Sacred-Smoke-Blog-post.jpg,8bc6eac91f3f,prov:8bc6eac91f3f
NODE-056,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240324170936.png,147c3889bdbf,prov:147c3889bdbf
NODE-057,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/smudge-1.jpg,40c8a72e6ec7,prov:40c8a72e6ec7
NODE-058,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-06 142534.png,b5bbcc6f3bf4,prov:b5bbcc6f3bf4
NODE-059,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-05 102750.png,83b1338b4dbb,prov:83b1338b4dbb
NODE-060,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 165746.png,af5edbf45ab0,prov:af5edbf45ab0
NODE-061,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906135822.png,eb5ed2568fc7,prov:eb5ed2568fc7
NODE-062,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520200336.png,6727f4525f5c,prov:6727f4525f5c
NODE-063,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921171030.png,526d3f76c593,prov:526d3f76c593
NODE-064,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/10-14-24-165634.png,425ad89e22b1,prov:425ad89e22b1
NODE-065,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520202620.png,40377dd5af22,prov:40377dd5af22
NODE-066,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240304200924.png,c1749314e8eb,prov:c1749314e8eb
NODE-067,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208204741.png,5860a1a34ecc,prov:5860a1a34ecc
NODE-068,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/Wampanoag2.jpg,64b227960848,prov:64b227960848
NODE-069,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240320133637.png,410b2e9c6d7f,prov:410b2e9c6d7f
NODE-070,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-10-23 133154.png,6444d50409f6,prov:6444d50409f6
NODE-071,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/INDIVIDUATION - & the Will-to-Meaning . by Michael Tsarion.md,6b23549cea0a,prov:6b23549cea0a
NODE-072,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Atonism & the Cult of Mithras.md,950759ad444e,prov:950759ad444e
NODE-073,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Helen Ellerbe.md,7871183dd0dd,prov:7871183dd0dd
NODE-074,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Exploring the Origins of Jehovah.md,682af82547cd,prov:682af82547cd
NODE-075,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/Energetic Lighting Energetic Destiny LED Panel IP20 36W 5000K 3400Lm at 600 x 600mm [222008]  MegaBuy Computer Parts.pdf,aeb41d51062f,prov:aeb41d51062f
NODE-076,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/THE FIRST   PHILOSOPHER . By Michael Tsarion.md,0a9e6217f402,prov:0a9e6217f402
NODE-077,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/EXISTENTIALISM   VS. PERSONALISM (The Philosophy of Selfhood).md,99d61b42b6f9,prov:99d61b42b6f9
NODE-078,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Atlantis.md,d15b63ca9340,prov:d15b63ca9340
NODE-079,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/From Heaven to Earth  by Michael Tsarion 1.md,cc742b14b12b,prov:cc742b14b12b
NODE-080,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Robert Graves.md,c0880bae3ac6,prov:c0880bae3ac6
NODE-081,cross_integration_histories,"/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Prisoners of Childhood Adultism, Psychiatry & the Fifth Commandment.md",1cda608dca98,prov:1cda608dca98
NODE-082,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/HAPPY DISCONTENTS & the Unreality Principle . by Michael Tsarion.md,5d318e61df8d,prov:5d318e61df8d
NODE-083,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/PESTILENCE (The Curse of Christianity) . by Michael Tsarion.md,931b1dbd810d,prov:931b1dbd810d
NODE-084,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/BLAKE & WOMEN . by Michael Tsarion.md,1b07d1ffcd43,prov:1b07d1ffcd43
NODE-085,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ANCESTRAL TRAUMA  (& the Epic of Consciousness) . By Michael Tsarion.md,80fb056882a7,prov:80fb056882a7
NODE-086,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Psychic Self-Défense.md,da77243e384c,prov:da77243e384c
NODE-087,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Symbolic Literacy  . by Michael Tsarion.md,3810db2878ca,prov:3810db2878ca
NODE-088,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Alvin Boyd Kuhn.md,56d9fb865f4e,prov:56d9fb865f4e
NODE-089,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/A-Study-of-Effect-of-Energy-Healing-on-in-Vitro-Tumor-Cell-Proliferation.pdf,362a7547a207,prov:362a7547a207
NODE-090,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/The Bible Unearthed by Finkelstein & Silberman.md,15c98efca627,prov:15c98efca627
NODE-091,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Mysticism Truth or Falsity by Michael Tsarion.md,18a046002255,prov:18a046002255
NODE-092,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/The Order of Sion & Occult Christianity.md,1584570768bb,prov:1584570768bb
NODE-093,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/We're Talking Heroes!   . by Michael Tsarion.md,89593b1ed4da,prov:89593b1ed4da
NODE-094,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/ALBERT CHURCHWARD.md,83f389285af3,prov:83f389285af3
NODE-095,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/J. P. Mendum.md,04325ba44de9,prov:04325ba44de9
NODE-096,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ART & IMAGINATION  . by Michael Tsarion.md,2320297eb46b,prov:2320297eb46b
NODE-097,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/THE CASE FOR   IDEALISM (Saving the Western Tradition) . by Michael Tsarion.md,4f10d486b765,prov:4f10d486b765
NODE-098,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/glossary of words applicable to the HEF.doc,e130dad7762f,prov:e130dad7762f
NODE-099,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ST. PAUL FRAUD.md,f6097fce6af6,prov:f6097fce6af6
NODE-100,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Arthur Dewes.md,4f917245742f,prov:4f917245742f
