node_id,bucket_type,source_path,source_type,language_hint,expected_neighbors,expected_parent,provenance_ref,model_a_top10,model_b_top10,score_a,score_b,notes
NODE-030,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/67761_1573488850613_1037305960_31611772_7546209_s.jpg,image,en,,,,,,,,
NODE-031,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/13789_518435964857353_377864600_n.jpg,image,en,,,,,,,,
NODE-032,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329415_10154948152822913_2081738134_o.jpg,image,en,,,,,,,,
NODE-033,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21325583_10154942520712913_225346204_n.jpg,image,en,,,,,,,,
NODE-034,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329826_10154948169402913_281946457_o.jpg,image,en,,,,,,,,
NODE-035,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21299019_10154948138132913_1114110350_o.jpg,image,en,,,,,,,,
NODE-036,interpretation_maps,"/Users/sheshnarayaniyer/Documents/noesis/Research/James True/Exploring Consciousness - An Introduction to Living Systems, Sapience, and Sentience.md",document,en,,,,,,,,
NODE-037,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195322.png,image,en,,,,,,,,
NODE-038,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240305002325.png,image,en,,,,,,,,
NODE-039,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906142538.png,image,en,,,,,,,,
NODE-040,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Books/e2ca0c409c17538f41b5fd39fa497e2a--st-thomas-walter-obrien.jpg,image,en,,,,,,,,
NODE-041,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208205024.png,image,en,,,,,,,,
NODE-042,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612223045.png,image,en,,,,,,,,
NODE-043,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240828002737.png,image,en,,,,,,,,
NODE-044,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-19 031659.png,image,en,,,,,,,,
NODE-045,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224016.png,image,en,,,,,,,,
NODE-046,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921172756.png,image,en,,,,,,,,
NODE-047,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240316220701.png,image,en,,,,,,,,
NODE-048,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921174633.png,image,en,,,,,,,,
NODE-049,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/800px-Toroidal_Transformer_Poynting_Vector.jpg,image,en,,,,,,,,
NODE-050,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 164229.png,image,en,,,,,,,,
NODE-051,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195832.png,image,en,,,,,,,,
NODE-052,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224817.png,image,en,,,,,,,,
NODE-053,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240827191449.png,image,en,,,,,,,,
NODE-054,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612214645.png,image,en,,,,,,,,
NODE-055,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/HV-Sacred-Smoke-Blog-post.jpg,image,en,,,,,,,,
NODE-056,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240324170936.png,image,en,,,,,,,,
NODE-057,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/smudge-1.jpg,image,en,,,,,,,,
NODE-058,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-06 142534.png,image,en,,,,,,,,
NODE-059,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-05 102750.png,image,en,,,,,,,,
NODE-060,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 165746.png,image,en,,,,,,,,
NODE-061,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906135822.png,image,en,,,,,,,,
NODE-062,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520200336.png,image,en,,,,,,,,
NODE-063,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921171030.png,image,en,,,,,,,,
NODE-064,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/10-14-24-165634.png,image,en,,,,,,,,
NODE-065,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520202620.png,image,en,,,,,,,,
NODE-066,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240304200924.png,image,en,,,,,,,,
NODE-067,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208204741.png,image,en,,,,,,,,
NODE-068,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/Wampanoag2.jpg,image,en,,,,,,,,
NODE-069,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240320133637.png,image,en,,,,,,,,
NODE-070,interpretation_maps,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-10-23 133154.png,image,en,,,,,,,,
NODE-071,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/INDIVIDUATION - & the Will-to-Meaning . by Michael Tsarion.md,document,en,,,,,,,,
NODE-072,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Atonism & the Cult of Mithras.md,document,en,,,,,,,,
NODE-073,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Helen Ellerbe.md,document,en,,,,,,,,
NODE-074,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Exploring the Origins of Jehovah.md,document,en,,,,,,,,
NODE-075,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/Energetic Lighting Energetic Destiny LED Panel IP20 36W 5000K 3400Lm at 600 x 600mm [222008]  MegaBuy Computer Parts.pdf,document,en,,,,,,,,
NODE-076,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/THE FIRST   PHILOSOPHER . By Michael Tsarion.md,document,en,,,,,,,,
NODE-077,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/EXISTENTIALISM   VS. PERSONALISM (The Philosophy of Selfhood).md,document,en,,,,,,,,
NODE-078,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Atlantis.md,document,en,,,,,,,,
NODE-079,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/From Heaven to Earth  by Michael Tsarion 1.md,document,en,,,,,,,,
NODE-080,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Robert Graves.md,document,en,,,,,,,,
NODE-081,cross_integration_histories,"/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Prisoners of Childhood Adultism, Psychiatry & the Fifth Commandment.md",document,en,,,,,,,,
NODE-082,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/HAPPY DISCONTENTS & the Unreality Principle . by Michael Tsarion.md,document,en,,,,,,,,
NODE-083,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/PESTILENCE (The Curse of Christianity) . by Michael Tsarion.md,document,en,,,,,,,,
NODE-084,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/BLAKE & WOMEN . by Michael Tsarion.md,document,en,,,,,,,,
NODE-085,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ANCESTRAL TRAUMA  (& the Epic of Consciousness) . By Michael Tsarion.md,document,en,,,,,,,,
NODE-086,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Psychic Self-Défense.md,document,en,,,,,,,,
NODE-087,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Symbolic Literacy  . by Michael Tsarion.md,document,en,,,,,,,,
NODE-088,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Alvin Boyd Kuhn.md,document,en,,,,,,,,
NODE-089,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/A-Study-of-Effect-of-Energy-Healing-on-in-Vitro-Tumor-Cell-Proliferation.pdf,document,en,,,,,,,,
NODE-090,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/The Bible Unearthed by Finkelstein & Silberman.md,document,en,,,,,,,,
NODE-091,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Mysticism Truth or Falsity by Michael Tsarion.md,document,en,,,,,,,,
NODE-092,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/The Order of Sion & Occult Christianity.md,document,en,,,,,,,,
NODE-093,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/We're Talking Heroes!   . by Michael Tsarion.md,document,en,,,,,,,,
NODE-094,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/ALBERT CHURCHWARD.md,document,en,,,,,,,,
NODE-095,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/J. P. Mendum.md,document,en,,,,,,,,
NODE-096,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ART & IMAGINATION  . by Michael Tsarion.md,document,en,,,,,,,,
NODE-097,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/THE CASE FOR   IDEALISM (Saving the Western Tradition) . by Michael Tsarion.md,document,en,,,,,,,,
NODE-098,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Papers/glossary of words applicable to the HEF.doc,document,en,,,,,,,,
NODE-099,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/ST. PAUL FRAUD.md,document,en,,,,,,,,
NODE-100,cross_integration_histories,/Users/sheshnarayaniyer/Documents/noesis/Research/Micheal Tsarion/Articles/Author Intro/Arthur Dewes.md,document,en,,,,,,,,
